key,ar,en,es,fr,ru,zh
Copyright,حقوق النشر والطبع,Copyright,PROPIEDAD INTELECTUAL,DROITS D'AUTEUR,© ООН,版权所有
Count,العدد,Count,Recuento,Nombre,Всего,计数
Dag Hammarskjöld Library,مكتبة داغ همرشولد,Dag Hammarskjöld Library,Biblioteca Dag Hammarskjöld,Dag Hammarskjöld Library,Дага Хаммаршельда Библиотека,图书馆
Databases,قواعد البيانات,Databases,Bases de datos,Bases de données,Базы данных,数据库
Delegates,الوفود,Delegates,Delegados,des délégués,Делегатов,代表
Deprecated concept,,Deprecated concept,,,,
Donate,تبرعوا,Donate,DONACIONES,FAITES UN DON,Пожертвования,捐款
Download this concept,تحميل هذا المفهوم,Download this concept,Descargue este concepto,Télécharger ce concept,Скачать концепцию,
Download this vocabulary as SKOS/RDF:,تحميل هذه المفردات في صيغة SKOS/RDF:,,Descargue este vocabulario como SKOS/RDF:,Télécharger ce vocabulaire en SKOS/RDF :,Скачать этот словарь в SKOS/RDF:,以SKOS或RDF格式下载此词汇表
Download this vocabulary:,,Download this vocabulary:,,,Скачать этот словарь:,
E-mail,,E-mail,,,,
E-mail:,البريد الإلكتروني:,,Correo electrónico:,E-mail,E-mail:,电子邮件
Enter search term,أدخل مصطلح البحث,Enter search term,,Entrez votre terme de recherche,Введите термин для поиска,
Enter your e-mail address,أدخل عنوان بريدك الالكتروني,Enter your e-mail address,Ingrese su correo electrónico,Saisissez votre adresse e-mail,Введите ваш e-mail,输入您的电子邮件地址
Enter your name,أدخل اسمك,Enter your name,Ingrese su nombre,Saisissez votre nom,Введите ваше имя,输入您的姓名
Error,,Error,,,,
Error: Failed to retrieve vocabulary information!,,Error: Failed to retrieve vocabulary information!,,,,
Error: Loading more items failed!,,Error: Loading more items failed!,,,,
Error: Requested vocabulary not found!,خطأ: المفردات المطلوبة غير موجودة!,Error: Requested vocabulary not found!,Error: ¡No se encuentra el vocabulario solicitado! ,Erreur : Le vocabulaire demandé n'a pas été trouvé !,Ошибка: Запрашиваемый словарь не найден!,错误：请求的词汇未找到！
Error: Search failed!,,Error: Search failed!,,,,
"Error: Term ""%term%"" not found in vocabulary!","خطأ: المصطلح ""%term%"" غير موجود في المفردات!","Error: Term ""%term%"" not found in vocabulary!","Error: ¡el término ""%term%"" solicitado no se encuentra en el vocabulario!","Erreur : Le term ""%term%"" n'a pas été trouvé dans le vocabulaire !",Ошибка: Термин %teне найден в словаре!,错误：术语...不存在词汇表中！
FAQ,أسئلة شائعة,FAQ,PREGUNTAS FRECUENTES,FAQ,ЧАСТО ЗАДАВАЕМЫЕ ВОПРОСЫ,常见问题解答
Feedback,التعليقات,Feedback,Comentarios,Vos commentaires,Обратная связь,意见反馈
Feedback has been sent!,تم إرسال التعليقات!,Feedback has been sent!,¡El comentario ha sido enviado!,Votre commentaire a été envoyé !,Ваш отзыв отправлен!,反馈已发送！
Find,ابحث عن,,Buscar,Trouver,Поиск,查找
Fraud Alert,تحذير من عمليات إحتيال,Fraud Alert,ALERTA DE FRAUDE,COURRIERS FRAUDULEUX,ОСТЕРЕГАЙТЕСЬ МОШЕННИЧЕСТВА,提防诈骗
General Public,لعامة الجمهور,General Public,Público en general,du grand public,Широкой публики,公众
Go to the concept page,,Go to the concept page,,,,
Group index,كشاف المجموعة,Group index,Índice del grupo,Groupes,Индекс группы,分组指数
Group-nav,مجموعات,Groups,Grupos,Groupes,Группы,组别，群组
Help,مساعدة,Help,Ayuda,Aide,Помощь,帮助
Hidden terms,المصطلحات المخفية,Hidden terms,Términos ocultos,Termes cachés,Скрытые термины,隐藏术语
Hier-nav,تسلسل هرمي,Hierarchy,Jerarquía,Hiérarchie,Иерархия,层级，层次结构
Hierarchical listing of vocabulary concepts,,Hierarchical listing of vocabulary concepts,,,Иерархический список словарных концепций,
Hierarchical listing of vocabulary concepts and groupings,,Hierarchical listing of vocabulary concepts and groupings,,,Иерархический список словарных концепций и групп,
Index to Proceedings,فهرس وقائع الجلسات,Index to Proceedings,Indice de las Actas,Index des actes,Указатель заседаний,议事录索引 (ITP)
Information,,Information,,,,
Interface language,لغة الواجهة,Interface language,Idioma,Langue de navigation,Язык интерфейса,界面语言
Journals,المجلات,Journals,Publicaciones periódicas,Revues,Журналы,期刊
Leave this field blank,اترك هذا الحقل فارغا,,Deje este campo en blanco,Laissez ce champ vide,Оставьте это поле пустым,保留此字段为空
Library News,,Library News,,Actualités de la Bibliothèque,,
Limit search,تحديد البحث,Limit search,Delimte la búsqueda,Limitez la recherche,Ограничить поиск,限定检索
Linked Data Services,خدمات البيانات المترابطة,Linked Data Services,Servicios de datos vinculados,Services de données liées,Услуги связанных данных,关联数据服务
List vocabulary concepts alphabetically,,List vocabulary concepts alphabetically,,,Показать словарные концепции по алфавиту,
List vocabulary concepts and groupings hierarchically,,List vocabulary concepts and groupings hierarchically,,,Показать словарные концепции и группы по иерархии,
List vocabulary concepts by newest additions,,List vocabulary concepts by newest additions,,,Показать словарные концепции по новейшим дополнениям,
List vocabulary concepts hierarchically,,List vocabulary concepts hierarchically,,,Показать словарные концепции по иерархии,
Listing vocabulary concepts alphabetically,,Listing vocabulary concepts alphabetically,,,Словарные концепции по алфавиту,
Listing vocabulary concepts by newest additions,,Listing vocabulary concepts by newest additions,,,Показать словарные концепции по новейшим дополнениям,
Loading,جار التحميل,Loading,Cargando,Chargement,Загружается,加载中
Loading more items,جار تحميل المزيد من العناصر,Loading more items,Cargando más ítemes,Chargement de plus de données,Загружается,加载更多条目
Member States on the Record,الدول الأعضاء في الأمم المتحدة على السجل,,Estados Miembros de la ONU a lo largo de las sesiones,Les États Membres au fil des sessions,Государства-члены ООН: Официально,联合国会员国公开报道
Message,,Message,,,,
Message:,رسالة:,,Mensaje:,Message :,Сообщение:,消息
Monday to Friday,,Monday to Friday,,,,
More information about this term,,More information about this term,,,,
Name,,Name,,,,
Name:,الاسم:,,Nombre:,Nom :,Имя:,姓名
No results,لا توجد نتائج,No results,Sin resultados,Pas de résultats,Нет результатов,没有结果
No vocabularies on the server!,لا تتوفر مفردات على الخادم!,No vocabularies on the server!,¡No hay vocabularios en el servidor!,Pas de vocabulaires sur le serveur !,Нет словарей на сервере!,该服务器上没有词汇表！
Not to a specific vocabulary,لا تتعلق بمفردات محددة,Not to a specific vocabulary,Sin vocabulario específico,Pas de vocabulaire spécifique,Не для определённого словаря,不符合特定的词汇表
OPENING HOURS:,ساعات الدوام,OPENING HOURS:,HORARIO DE ATENCIÓN:,HORAIRES D'OUVERTURE,ЧАСЫ РАБОТЫ:,开放时间
Online: 9am–5pm ET,عبر الإنترنت: من الإثنين إلى الجمعة ، من 10 صباحًا حتى 1 مساءً (حسب التوقيت الشرقي القياسي),Online: 9am–5pm ET,"En línea: de lunes a viernes, de 10 a.m. a 1 p.m. (EST)","En ligne : du lundi au vendredi, de 10 h à 13 h (EST)",Онлайн: понедельник-пятница с 10:00 до 13:00 (EST – Североамериканское Восточное Стандартное Время),线上: 周一至周五: 上午10:00—下午1:00 (ET)
Open,,Open,,,,
Our Activities,أنشطتنا,Our Activities,Actividades,Nos activités,Наша деятельность,我们的活动
Our Collections,مجموعاتنا,Our Collections,Colecciones,Nos collections,Наши фонды,我们的馆藏
Our Mandate & History,مهمتنا وتاريخنا,Our Mandate & History,Mandato e historia,Mission et historique,Наш мандат и история,我们的任务和历史
Prefer using,,,,,Предпочитаю использовать,
Preferred terms,المصطلحات المفضلة,Preferred terms,Términos preferidos,Termes préférentiels,Предпочитаемые термины,优选词，正式主题词
Privacy Notice,بيان الخصوصيات,Privacy Notice,PRIVACIDAD,CONFIDENTIALITÉ DE L'INFORMATION,КОНФИДЕНЦИАЛЬНОСТЬ,隐私通告
"Request Articles, Books & Documents",طلب المقالات والكتب والوثائق,"Request Articles, Books & Documents","Solicitud de artículos, libros y documentos","Demander des articles, livres et documents","Запрос статей, книг и других материалов",申请文章、书籍和文件
Research Guides,أدلة البحث,Research Guides,Guías de investigación,Guides de recherche,Исследовательские руководства,研究指南
Research the UN,ابحث في الأمم المتحدة,,Investigación sobre la ONU,Recherche sur l'ONU,Поисковые ресурсы ООН,研究联合国
Researchers & Librarians,للباحثين وأمناء المكتبات,Researchers & Librarians,Investigadores y bibliotecarios,des chercheurs et des bibliothécaires,Исследователей и библиотекарей,研究人员和图书管理员
Resource counts by type,العدد الكلي للمصادر وفقا للنوع,Resource counts by type,Listado de recursos por tipo,Nombre d'entrées par type,Количество ресурсов по типу,按类型资源计数
Retry,,Retry,,,,
Search,البحث,Search,Buscar,Chercher,Поиск,检索
Search across vocabularies,,Search across vocabularies,,,,
Search from selected vocabularies,,Search from selected vocabularies,,,Поиск по выбранным словарям,
Search from vocabulary,البحث في المفردات,Search from vocabulary,,Choisissez le vocabulaire dans lequel chercher,Поиск по словарю,
Search options,خيارات البحث,Search options,Opciones de búsqueda,Options de recherche,Опции поиска,搜索选项
Search options tab,,Search options tab,,,Поиск по опциям,
Search results,,Search results,,,Поиск по результатам,
Search...,,Search...,,,,
Select a vocabulary,,You can select a vocabulary,,,,
Select search language,,Select search language,,,,
Send feedback,أرسل التعليقات,Send feedback,Enviar comentario,Envoyer un commentaire,Отправить отзыв,发送反馈
Services for...,الخدمات...,,Servicios destinados a…,Services à l’intention…,Услуги для...,服务对象
Sidebar listing: list and traverse vocabulary contents by a criterion,,Sidebar listing: list and traverse vocabulary contents by a criterion,,,Список на боковой панели: составить список и просмотреть содержимое словаря по критерию,
Skip to main,,Skip to main content,,,Перейти к основному содержанию,
Skosmos version %version%,إصدارة Skosmos %version%,Skosmos version %version%,Skosmos versión %version%,Skosmos version %version%,Skosmos версия %version%,Skosmos版本
Speeches,الخطب,Speeches,Discursos,Discours,Выступления,发言
Subject,,Subject,,,,
Subject:,,,,,,
Submit search,إرسال البحث,Submit search,,Lancer la recherche,Найти,
Term counts by language,العدد الكلي للمصطلحات وفقا للغة,Term counts by language,Recuento de términos por lengua,Nombre de termes par langue,Количество ресурсов по языку,按语言术语计数
Terms of Use,شروط الإستخدام,Terms of Use,CONDICIONES DE UTILIZACIÓN,CONDITIONS D'UTILISATION,УСЛОВИЯ ПОЛЬЗОВАНИЯ,使用条款
Text input with dropdown button,,Text input with dropdown button,,,,
Thank you for your feedback,شكرا لك على تعليقاتك. نحن نسعى جاهدين للرد على جميع التعليقات في أقرب وقت ممكن.,Thank you for your feedback. We strive to answer all feedback as soon as possible.,Gracias por sus comentarios. Nos esforzaremos en contestarlos todos lo más pronto posible.,Merci pour votre commentaire. Nous faisons de notre mieux pour prendre en compte les commentaires dès que possible.,Спасибо за ваш отзыв. Мы стараемся ответить на все отзывы как можно скорее.,谢谢您的反馈。我们努力尽快回复所有反馈。
The search provided no results.,البحث لم يقدم أية نتائج.,The search provided no results.,La búsqueda no brinda resultados,La recherche n'a ramené aucun résultat.,Поиск не дал результатов.,该检索没有结果。
There is no term for this concept in this language,لا يوجد مصطلح لهذا المفهوم في هذه اللغة.,There is no term for this concept in this language.,,Pas de terme dans cette langue pour ce concept,На этом языке нет термина для этой концепции.,
"To customize what is shown here, add one or more .twig template files under the %slotPath% directory.",,"To customize what is shown here, add one or more .twig template files under the %slotPath% directory.",,,,
Training,التدريب,Training,Formación,Formation,Учебные программы,培训和活动
Type,النوع,Type,Tipo,Type,Тип,类型
UN Depository Libraries,,UN Depository Libraries,,Bibliothèques de dépôt de l'ONU,,
UN Digital Library,المكتبة الرقمية للأمم المتحدة,UN Digital Library,Biblioteca digital de la ONU,Bibliothèque numérique de l'ONU,Цифровая библиотека ООН,联合国数字图书馆
UN Libraries,مكتبات الأمم المتحدة,UN Libraries,Bibliotecas de la ONU,Bibliothèques de l'ONU,Библиотеки ООН,联合国图书馆
UN Member States on the Record,الدول الأعضاء في الأمم المتحدة على السجل,UN Member States on the Record,Estados Miembros de la ONU a lo largo de las sesiones,Les États Membres au fil des sessions,Государства-члены ООН: Официально,联合国会员国公开报道
UN Resources & Documents,موارد الأمم المتحدة ووثائقها,UN Resources & Documents,Recursos y documentos de la ONU,Ressources et documents de l'ONU,Ресурсы и документы ООН,联合国资源和文件
UN Staff,لموظفي الأمم المتحدة,UN Staff,Personal de las Naciones Unidas,du personnel de l'ONU,Персонала ООН,联合国工作人员
United Nations,United Nations,United Nations,United Nations,United Nations,United Nations,United Nations
Using the Library,استخدام المكتبة,,Utilización de la Biblioteca,Utiliser la bibliothèque,Пользование библиотекой »,使用图书馆
Value is required and can not be empty,القيمة مطلوبة ولا يمكن أن تترك فارغة,Value is required and can not be empty,"Se requiere algún valor, el campo no puede quedar en blanco",Champ obligatoire,Значение является обязательным и не может быть пустым,需要赋值，不能为空。
Visit the Library,زيارة المكتبة,Visit the Library,Visita a la Biblioteca,Visiter la Bibliothèque,Посещение Библиотеки,访问图书馆
Vocabularies,المفردات,Vocabularies,,Vocabulaires,Словари,
Vocabularies-nav,المفردات,Vocabularies,Vocabularios,Vocabulaires,Словари,词汇表
Vocabulary,,Vocabulary,,,,
Vocabulary information,معلومات المفردات,Vocabulary information,Información del vocabulario,Description du vocabulaire,Информация о словаре,词汇表信息
Voting Information,معلومات عن التصويت,,Información sobre votaciones,Informations de vote,Информация о голосовании,表决信息
We're sorry but Skosmos doesn't work properly without JavaScript enabled. Please enable it to continue.,,We're sorry but Skosmos doesn't work properly without JavaScript enabled. Please enable it to continue.,,,,
Welcome to the United Nations,مرحباً بكم في الأمم المتحدة,,Bienvenidos a las Naciones Unidas,Bienvenue aux Nations Unies,Добро пожаловать в ООН!,欢迎来到联合国，您的世界！
Write a subject,,Write a subject,,,,
cc:attributionName,اسم الإسناد,Attribution Name,,Nom d'attribution,Имя аттрибута,
cc:attributionUrl,Url الإسناد,Attribution Url,,URL d'attribution,URL аттрибута,
cc:license,الترخيص,License,,Licence,Лицензия,
cc:morePermissions,المزيد من الأذونات,More Permissions,,Autres autorisations,Ещё о правах доступа,
cc:useGuidelines,استخدم الأدلة الإرشادية,use guidelines,,règles d'utilisation,Руководство по использованию,
concept_types,أنواع المفاهيم,Concept types,,,Типы концепций,
dc:conformsTo,يتوافق مع,Conforms To,,Conforme à,Соответствует,
dc:contributor,المساهم,Contributor,Colaborador,Contributeur,Контрибьютор,其他责任者
dc:coverage,التغطية,Coverage,,Couverture,Покрытие,
dc:created,تاريخ الإنشاء,Created,Creado,Date de création,Создано,创建的
dc:creator,المنشئ,Creator,Creador,Créateur,Автор,创建者
dc:date,التاريخ,Date,Fecha,Date,Дата,日期
dc:description,الوصف,Description,Descripción,Description,Описание,描述，说明
dc:format,الصيغة,Format,,Format,Формат,
dc:identifier,المُعَرِّف,Identifier,,Identifiant,Идентификатор,
dc:isReplacedBy,حل محله,Is replaced by,,Est remplacé par,Заменено,
dc:isRequiredBy,مطلوب من,Is Required By,,Est nécessaire pour,Требуется,
dc:issued,تاريخ الإصدار,Date issued,Fecha de publicación,Date de publication,Дата выпуска,发行日期
dc:language,اللغة,Language,Lengua,Langue,Язык,语言
dc:license,الترخيص,License,Licencia,Licence,Лицензия,许可
dc:modified,آخر تعديل,Last modified,Última modificación,Date de dernière modification,Последнее изменение,最后修改
dc:publisher,الناشر,Publisher,Editor,Editeur,Издатель,出版者
dc:relation,العلاقة,Relation,Relación,Relation,Отношение,关系
dc:replaces,يحل محل,Replaces,,Remplace,Заменяет,
dc:rights,الحقوق,Rights,Derechos,Droits,Права,权限
dc:rightsHolder,صاحب الحقوق,Rights Holder,,Détenteur des droits,Правообладатель,
dc:source,المصدر,Source,Fuente,Source,Источник,来源
dc:source_help,مصدر لوصف المفهوم.,Source for the description of the concept.,,La source des informations.,Источник описания концепции.,
dc:spatial,التغطية المكانية,Spatial coverage,,Couverture spatiale,Пространственное покрытие,
dc:subject,الموضوع,Subject,Materia,Sujet,Тема,主题
dc:temporal,تغطية زمنية,Temporal coverage,,Couverture temporelle,Временное покрытие,
dc:title,العنوان,Title,Título,Titre,Название,题名
dc:type,النوع,Type,,Type,Тип,
deprecated,هذا المفهوم غير متاح للإستخدام. لا تستخدم هذا المفهوم للشرح!,This concept has been deprecated.,Este concepto está obsoleto.,Ce concept a été déprécié.,Данная концепция устарела. Не используйте эту концепцию для аннотации!,此概念已弃用，请不要使用用于注释。
feedback_enter_name_email,برجاء إدخال إسمك وعنوان بريدك الإلكترونى إذا كنت ترغب فى تلقي رد مباشر.  لديك أيضًا خيار إرسال تعليقاتك كمجهول. ملحوظة: يتم إحالة الملاحظات المتعلقة بمفردات محددة مباشرة إلى المسؤول عن إدارتها.,Please enter your name and email address if you wish to receive a direct response. You also have the option to submit your feedback anonymously. NB: Feedback regarding a specific vocabulary is referred directly to its administrator.,,,"Пожалуйста, введите ваше имя и адрес электронной почты, если вы хотите получить прямой ответ. У вас также есть возможность отправить свой отзыв анонимно. NB: Отзывы о конкретном словаре направляются непосредственно его администратору.",
foaf:homepage,الصفحة الرئيسية,Homepage,Página de inicio,Accueil,Домашняя страница,主页
foaf:page,الصفحة,Page,,Page,Страница,
foreign prefLabel help,مصطلحات هذا المفهوم باللغات الأخرى.,Terms for the concept in other languages.,Términos para el concepto en otras lenguas.,Termes du concept dans d'autres langues.,Термины для концепции на других языках.,其它语言中概念术语
foreign prefLabels,بلغات أخرى,In other languages,En otras lenguas,Traductions,На других языках,其它语言
from all,من الكل,from all,Todos,Partout,из всех,全部源自，所有来源
helper_help,مرر مؤشر الفأرة فوق النص الموضوع أسفله خط منقط لعرض التعليمات حول الموقع.,Hover your cursor over the text with a dotted underline to see instructions about the property.,Desplace su cursor sobre el texto con el subrayado punteado para ver las instrucciones de la propiedad.,Passer le curseur sur un texte souligné en pointillé pour voir plus d'informations sur la propriété.,"Наведите указатель мышки на текст с пунктирным подчеркиванием, чтобы увидеть информацию о свойстве.",用点下划线在文本上悬停鼠标，以查看属性说明
hierarchy-disabled-help,لا يمكن عرض التسلسل الهرمي للمستوى الأعلى في هذه المفردات.,The top level hierarchy can't be shown in this vocabulary.,Los conceptos superiores en la jerarquía no pueden ser visualizados en este vocabulario,Impossible d'afficher les concepts racines de la hiérarchie pour ce vocabulaire.,Иерархия верхнего уровня не может быть показана в этом словаре.,该词汇表不显示顶级类层级。
in_this_language,بالإنجليزية,English, Español ,Français,на русском,英语
isothes:ConceptGroup,مجموعة مفاهيم,Concept group,Agrupación de conceptos,Groupe de concepts,Группа концепций,概念组
isothes:ThesaurusArray,مصفوفة من مفاهيم قريبة,Array of sibling concepts,Conjunto de conceptos hermanos,Tableau de concepts frères,Массив родственных концепций,同位叙词概念类组
isothes:broaderGeneric,مفاهيم أوسع,Broader concepts,,Concepts génériques,Концепции более широкого понятия,
isothes:broaderInstantial,مفهوم أوسع (آني),Broader concept (instantial),,Concept générique (classe-instance),Концепция более широкого понятия (примерно),
isothes:broaderPartitive,مفهوم أوسع (جزئي),Broader concept (partitive),,Concept générique (tout-partie),Концепции более широкого понятия (частично),
isothes:narrowerGeneric,مفاهيم أضيق,Narrower concepts,,Concepts spécifiques,Концепции более узкого понятия,
isothes:narrowerInstantial,مفاهيم أضيق (آنية),Narrower concepts (instantial),,Concepts spécifiques (classe-instance),Концепции более узкого понятия (примерно),
isothes:narrowerPartitive,مفاهيم أضيق (جزئية),Narrower concepts (partitive),,Concepts spécifiques (tout-partie),Концепции более узкого понятия (частично),
isothes:superGroup,المجموعة الرئيسة,Super group,Supergrupo,Groupe parent,Супер группа,超级组
layout designed by Hahmo,التصميم بواسطة Hahmo Design,layout designed by Hahmo Design,diagramación diseñada por Hahmo Design,Mise en page : Hahmo Design,дизайн разработан Hahmo Design,依据Hahmo Design公司设计的版面/布局
limited to group,المجموعة,group,grupo,groupe,группа,组
limited to parent,الأصل,parent,padre,parent,родитель,隶属关系
limited to scheme,يقتصر على المخطط,limited to scheme,,au sein du vocabulaire,по схеме,
limited to type,النوع,type,tipo,type,тип,类型
owl:sameAs,المفاهيم المتكافئة,Equivalent concepts,Conceptos equivalentes,Concepts équivalents,Эквивалентные концепции,同等概念
owl:versionInfo,الإصدارة,Version,Versión,Version,Версия,版本
rdf:type,النوع,Type,Tipo,Type,Тип,类型
rdf:type_help,نوع الكيان,Type of entity,Tipo,Type d'entrée,Тип объекта,实体类型
rdfs:comment,الوصف,Description,Descripción,Description,Описание,描述，说明
rdfs:label,التسمية,Label,Etiqueta,Label,Термин,标签
rdfs:seeAlso,انظر أيضا,See also,Véase además,Voir aussi,Смотрите также,参见
search_example_text,للبحث الاقتطاعي، الرجاء استخدام الرمز * كما هو الحال في *حيوان أو *براءة*. بالنسبة لنهاية كلمات البحث، سيتم اقتطاع البحث تلقائيًا، حتى إذا لم يتم إدخال رمز الاقتطاع يدويا: وهكذا، سيؤدي البحث عن قط إلى الحصول على نفس نتائج البحث عن قط*.,"For truncation search, please use the symbol * as in *animal or *patent*. For ends of search words, the search will be truncated automatically, even if the truncation symbol is not entered manually: thus, cat will yield the same results as cat*.","Para la búsqueda por truncamiento, por favor utilice el símbolo * como en *animal o *patente*. Para los sufijos de las palabras de búsqueda, la búsqueda se truncará automáticamente, incluso si el símbolo de truncamiento no se ingresa manualmente: asi, gat producirá los mismos resultados que gat*","Pour les recherches avec troncature, utilisez le symbole * , par exemple *animal ou *brevet*. La recherche utilise automatiquement une troncature en fin de mot, même sans le symbole de troncature : la recherche chat donnera donc les mêmes résultats que chat*.","Для сокращения поиска, пожалуйста, используйте символ * как в *животное или *патент*. В конце поисковых слов, поиск будет сокращён автоматически, даже если символ сокращения не введён вручную: таким образом, кот выдаст те же результаты, что и кот*.",对于截词检索，请使用符号*作为*动物或*专利。对于检索词的结尾，检索将会自动截词，即使截词符号没有自动输入，因此输入cat将会产生和输入cat*同样的结果。
selected,محدَّد,,seleccionado,sélectionné,выбранно,所选的，选择的
show all # paths,عرض جميع الـ # مسارات,show all # paths,muestre todas las # rutas,voir tous les # chemins,показать все # пути,显示所有路径
show all # values,,show all # values,,,показать все # значения,
skos:Collection,المجموعة,Collection,Colección,Collection,Коллекция,收藏，集
skos:Concept,مفهوم,Concept,Concepto,Concept,Концепция,概念
skos:altLabel,مصطلحات المداخل,Used for,Etiquetas alternativas,Variante,Термины,
skos:altLabel_help,مصطلحات بديلة للمفهوم.,Alternative terms for the concept.,Términos alternativos para el concepto.,Synonymes pour le concept.,Альтернативные термины для концепции.,此概念交替术语
skos:broadMatch,مفاهيم أوسع مطابقة,Broader matching concepts,Concepto genérico concordante,Equivalence générique,Концепции соответствия более широкого понятия,简单知识组织系统：广泛匹配
skos:broadMatch_help,مفاهيم أوسع مطابقة في مفردات أخرى.,Broader matching concepts in another vocabulary.,Concepto genérico concordante en otro vocabulario.,Concept générique dans un autre vocabulaire,Концепции соответствия более широкого понятия в другом словаре.,在另一词汇表中匹配的上位概念
skos:broader,مفهوم أوسع,Broader concept,Concepto genérico,Concept générique,Концепция более широкого понятия,上位概念
skos:broader_help,مفهوم أوسع,Broader concept,Concepto genérico,Concept générique (TG),Концепция более широкого понятия,上位概念
skos:changeNote,تبصرة تغيير,Change note,Nota de cambio,Note de changement,Заметка об изменениях,变更注释，变更说明
